goodreads_book_id,tag_id,count
1,1691,1742
1,2104,1022
1,3389,836
1,1128,828
1,3392,701
1,3371,433
1,615,399
1,2106,305
1,1120,283
2,2104,981
2,3389,851
2,3371,426
2,2106,289
2,1120,256
2,609,240
2,4834,232
2,3379,225
2,1540,225
2,3392,194
3,1691,2430
3,2104,1453
3,3389,1143
3,1128,1049
3,3392,1032
3,3371,627
3,2106,385
5,1691,1982
5,2104,1177
5,3389,966
5,1128,932
5,3392,818
5,3371,496
5,2106,349
5,1120,305
5,3379,277
6,1691,1892
6,2104,1090
6,3389,910
6,1128,869
6,3392,785
6,3371,460
6,2106,312
6,1120,285
6,3379,250
8,1691,7
8,2104,4
8,1128,3
8,3687,3
8,1120,2
8,2218,2
8,1540,2
8,982,2
8,4375,2
8,4319,2
10,1691,18
10,2104,8
10,1120,5
10,1128,4
10,3687,4
10,3389,3
10,3392,3
10,2106,3
10,2218,3
10,1489,3
10,1542,3
11,1691,656
11,3389,635
11,3392,483
11,1642,460
11,240,377
11,4949,326
11,3371,321
11,1659,281
11,2056,275
11,236,230
11,2104,208
11,923,191
11,3379,188
11,1416,174
11,251,169
11,3358,152
11,1128,131
11,3377,126
11,461,92
13,1691,141
13,2104,81
13,1642,69
13,1416,58
13,2056,53
13,1659,50
13,240,50
13,923,38
13,2690,28
13,236,27
13,1128,23
13,3392,23
13,2106,23
21,3389,365
21,3392,297
21,3371,173
21,1416,125
21,3358,114
21,4631,88
21,3379,84
21,3377,74
21,3288,71
21,1642,61
21,4949,56
21,2705,48
21,2277,42
21,941,38
21,2104,35
21,603,31
24,3461,395
24,3389,148
24,3371,121
24,3392,117
24,4522,101
24,1691,85
24,4949,77
24,4605,67
24,3379,46
24,3377,36
24,3465,36
24,1642,35
24,4615,29
24,3358,27
24,1416,25
24,1709,23
24,2928,19
24,2580,18
24,3611,17
24,603,15
24,2104,13
24,1669,13
24,1668,13
24,4568,11
25,4605,138
25,3389,86
25,2271,73
25,3392,66
25,3611,56
25,3371,48
25,4949,43
25,4615,35
25,1642,28
25,1416,24
25,4521,21
25,3379,20
25,2497,19
25,2450,18
25,920,18
25,3377,17
25,462,17
25,923,16
25,4522,15
25,1691,14
25,1669,14
25,4594,13
25,4587,13
25,4611,12
25,2335,11
25,487,11
25,1668,11
25,3358,10
26,4522,89
26,2271,65
26,4605,60
26,4949,41
26,3389,36
26,3392,32
26,2277,32
26,2335,26
26,3371,25
26,1691,24
26,4615,23
26,1416,20
26,3611,19
26,1642,15
26,923,15
26,3379,12
26,473,10
26,4568,9
26,1668,9
26,4521,9
27,4522,91
27,4605,61
27,3389,44
27,3371,30
27,3392,28
27,1691,24
27,1642,22
27,4615,19
27,2277,17
27,3611,17
27,3377,16
27,1416,15
27,923,13
27,4949,13
27,3379,11
27,3358,10
27,4568,9
27,487,9
27,4587,8
27,4230,8
27,4611,7
28,4605,107
28,4522,107
28,3389,90
28,3392,57
28,3371,53
28,4615,50
28,1416,43
28,3611,40
28,3379,37
28,1642,34
28,1691,27
28,923,27
28,4949,27
28,3358,23
28,487,22
28,4017,21
28,205,20
28,4568,19
28,2277,18
28,4031,17
28,3377,16
28,4016,14
28,2534,14
28,4521,14
28,4587,13
28,4037,13
29,3392,36
29,4522,35
29,1642,26
29,3389,25
29,3371,21
29,4949,18
29,923,13
29,2705,13
29,487,12
29,676,11
29,3379,10
29,679,9
29,3377,8
29,2271,7
29,3358,7
29,1416,7
29,677,7
29,680,6
30,1691,92
30,2104,39
30,1642,17
30,1659,15
30,1120,13
30,1128,11
30,254,11
30,2106,9
30,1540,9
30,4316,9
30,3389,8
30,2158,8
30,2107,8
30,1542,7
30,134,7
33,1691,597
33,2104,250
33,240,232
33,236,132
33,1642,119
33,923,107
33,1128,90
33,1659,89
33,2106,85
33,251,84
33,1416,79
33,3392,56
33,254,52
34,1691,1555
34,1642,439
34,2104,385
34,3389,339
34,3392,313
34,1659,310
34,923,214
34,3371,202
34,240,201
34,1128,200
34,1416,174
34,3358,141
34,236,117
36,2938,31
36,2982,5
36,1642,4
36,611,2
36,2879,2
36,2509,1
50,1691,934
50,1542,97
50,3389,82
50,3371,76
50,1200,49
50,1173,49
50,3392,46
50,1540,44
50,3677,42
67,4949,187
67,1753,138
67,1416,49
67,4985,43
67,2277,40
67,1659,37
67,3677,29
67,2312,25
67,2313,22
67,3392,19
67,1761,18
67,1762,18
67,1642,17
67,2305,17
67,4959,17
67,509,17
67,2271,16
67,3676,16
67,3371,15
67,4968,15
67,1750,15
67,615,13
67,941,13
67,3389,12
67,2326,12
67,2104,11
67,603,10
67,1759,10
93,509,72
93,1691,43
93,3389,34
93,3371,32
93,3392,28
93,4021,24
93,3379,18
93,4949,18
98,3739,87
98,3735,25
98,3742,23
98,3750,12
98,1642,11
98,1416,8
98,3758,7
98,1668,4
98,3745,4
98,1629,3
98,831,3
98,3751,3
105,3389,28
105,1691,24
105,3371,14
105,3358,14
105,3392,13
105,1642,10
105,2277,8
105,2104,7
105,2313,7
105,923,7
105,1659,7
105,473,6
106,3389,73
106,3392,45
106,3371,34
106,3358,32
106,2277,31
106,923,31
106,1691,28
106,1416,23
106,450,23
106,1642,19
106,1659,19
106,3377,16
106,2450,16
106,2313,15
106,3379,13
112,3389,61
112,3392,28
112,3358,27
112,2277,25
112,1691,24
112,3371,20
112,923,17
112,1642,16
112,1416,16
112,461,16
112,2450,16
112,1659,14
112,2313,12
117,3389,32
117,1691,18
117,2277,15
117,3358,15
117,3392,14
117,3371,10
117,1416,10
117,923,9
117,2313,8
117,1642,8
117,1659,7
117,2067,7
119,2938,66
119,2982,22
119,3118,5
119,3117,4
119,1642,2
119,3076,2
119,2980,2
119,1159,1
119,3115,1
119,171,1
119,54,1
122,1746,271
122,4949,213
122,3389,46
122,3465,44
122,3358,42
122,2104,40
122,1659,35
122,1642,33
122,2762,32
122,4959,29
122,3392,25
122,4985,25
122,3371,24
122,4021,21
122,1416,19
122,1750,18
122,1691,17
122,3467,15
122,2106,13
122,4514,13
122,1128,12
122,4968,12
122,3466,12
122,2100,12
122,3461,12
122,923,11
122,3379,11
231,4949,30
231,2277,21
231,1416,21
231,3392,16
231,1659,16
231,3371,14
231,615,14
231,2313,14
231,3389,11
231,941,11
231,617,11
231,1642,10
231,2335,9
231,1510,7
231,3358,6
231,3377,6
231,4514,6
231,2271,5
231,4985,5
231,2294,4
231,2312,4
231,3379,4
231,2162,4
249,2313,47
249,2277,34
249,1659,31
249,261,27
249,254,25
249,923,23
249,240,23
249,248,23
249,236,18
249,3611,18
249,2098,18
249,2294,17
249,3885,17
249,272,15
249,1416,15
249,2335,14
249,2271,13
249,3069,13
249,210,12
249,3886,12
249,2104,11
249,400,11
250,240,64
250,236,52
250,2277,41
250,2313,32
250,261,31
250,251,29
250,3885,20
250,272,16
250,2312,14
250,248,14
250,923,12
250,1416,10
250,2335,9
250,254,9
250,933,8
250,2294,7
250,1659,7
250,2271,6
250,1642,6
250,400,6
250,4605,6
250,3883,6
250,3392,5
250,267,5
250,2287,5
264,509,175
264,240,137
264,2277,132
264,2313,118
264,236,97
264,2312,82
264,4949,59
264,251,55
264,3392,39
264,1416,39
264,1659,33
264,248,28
264,1642,27
264,371,27
264,3371,25
264,261,25
264,3389,24
264,254,24
264,2287,21
264,2271,19
264,272,19
264,2104,17
264,522,16
264,518,14
264,521,13
