author_id,author_name
"garfield, eugene [omid:ra/0610738701]","Garfield, Eugene [omid:ra/0610738701]"
"small, henry [omid:ra/06150114412]","Small, Henry [omid:ra/06150114412]"
"ciancarini, paolo [orcid:0000-0002-7958-9924 omid:ra/06906749]","Ciancarini, Paolo [orcid:0000-0002-7958-9924 omid:ra/06906749]"
"di iorio, angelo [omid:ra/061807433656]","Di Iorio, Angelo [omid:ra/061807433656]"
"nuzzolese, andrea giovanni [orcid:0000-0003-2928-9496 omid:ra/06320323954]","Nuzzolese, Andrea Giovanni [orcid:0000-0003-2928-9496 omid:ra/06320323954]"
"peroni, silvio [orcid:0000-0003-0530-4305 omid:ra/0614010840729]","Peroni, Silvio [orcid:0000-0003-0530-4305 omid:ra/0614010840729]"
"vitali, fabio [orcid:0000-0002-7562-5203 omid:ra/0622011040459]","Vitali, Fabio [orcid:0000-0002-7562-5203 omid:ra/0622011040459]"
"motta, enrico [orcid:0000-0003-0015-1952 omid:ra/061010578563]","Motta, Enrico [orcid:0000-0003-0015-1952 omid:ra/061010578563]"
"d’aquin, mathieu [omid:ra/062208578838]","d’Aquin, Mathieu [omid:ra/062208578838]"
"di iorio, angelo [omid:ra/062107753046]","Di Iorio, Angelo [omid:ra/062107753046]"
"wouters, p. [omid:ra/061706323152]","Wouters, P. [omid:ra/061706323152]"
"radev, dragomir r. [omid:ra/06301800952]","Radev, Dragomir R. [omid:ra/06301800952]"
"muthukrishnan, pradeep [omid:ra/06301800953]","Muthukrishnan, Pradeep [omid:ra/06301800953]"
"qazvinian, vahed [omid:ra/06301800954]","Qazvinian, Vahed [omid:ra/06301800954]"
"abu-jbara, amjad [omid:ra/06301800955]","Abu-Jbara, Amjad [omid:ra/06301800955]"
"glänzel, wolfgang [omid:ra/061606407101]","Glänzel, Wolfgang [omid:ra/061606407101]"
"schlemmer, balázs [omid:ra/061606407102]","Schlemmer, Balázs [omid:ra/061606407102]"
"schubert, andrás [orcid:0000-0001-8348-1775 omid:ra/061804773]","Schubert, András [orcid:0000-0001-8348-1775 omid:ra/061804773]"
"thijs, bart [omid:ra/061606407103]","Thijs, Bart [omid:ra/061606407103]"
"franceschet, massimo [omid:ra/061606406187]","Franceschet, Massimo [omid:ra/061606406187]"
"belleau, françois [omid:ra/062102861785]","Belleau, François [omid:ra/062102861785]"
"nolin, marc-alexandre [omid:ra/062102861786]","Nolin, Marc-Alexandre [omid:ra/062102861786]"
"tourigny, nicole [omid:ra/062102861787]","Tourigny, Nicole [omid:ra/062102861787]"
"rigault, philippe [omid:ra/062102861788]","Rigault, Philippe [omid:ra/062102861788]"
"morissette, jean [omid:ra/062102861789]","Morissette, Jean [omid:ra/062102861789]"
"shotton, d m [orcid:0000-0001-5506-523x omid:ra/0621010775619]","Shotton, D M [orcid:0000-0001-5506-523X omid:ra/0621010775619]"
"baker, thomas [omid:ra/061704245774]","Baker, Thomas [omid:ra/061704245774]"
"bechhofer, sean [orcid:0000-0002-5872-3573 omid:ra/0619010527143]","Bechhofer, Sean [orcid:0000-0002-5872-3573 omid:ra/0619010527143]"
"isaac, antoine [orcid:0000-0001-9767-6979 omid:ra/0614010933748]","Isaac, Antoine [orcid:0000-0001-9767-6979 omid:ra/0614010933748]"
"miles, alistair [orcid:0000-0001-9018-4680 omid:ra/064013130258]","Miles, Alistair [orcid:0000-0001-9018-4680 omid:ra/064013130258]"
"schreiber, guus [omid:ra/061704245775]","Schreiber, Guus [omid:ra/061704245775]"
"summers, ed [omid:ra/061704245776]","Summers, Ed [omid:ra/061704245776]"
"aksnes, dag w [orcid:0000-0002-1519-195x omid:ra/065010943397]","Aksnes, Dag W [orcid:0000-0002-1519-195X omid:ra/065010943397]"
"lawrence, steve [omid:ra/06150977322]","Lawrence, Steve [omid:ra/06150977322]"
"lawrence, steve [omid:ra/062201000525]","Lawrence, Steve [omid:ra/062201000525]"
steve lawrence [omid:ra/0626010988816],Steve Lawrence [omid:ra/0626010988816]
"piwowar, heather [orcid:0000-0003-1613-5981 omid:ra/063011942103]","Piwowar, Heather [orcid:0000-0003-1613-5981 omid:ra/063011942103]"
"priem, jason [omid:ra/061301017804]","Priem, Jason [omid:ra/061301017804]"
"hahnel, mark [orcid:0000-0003-4741-0309 omid:ra/064021985]","Hahnel, Mark [orcid:0000-0003-4741-0309 omid:ra/064021985]"
"attwood, teresa k. [omid:ra/061308526336]","Attwood, Teresa K. [omid:ra/061308526336]"
