doi,title,pub_date,venue,type,publisher
10.1001/jama.295.1.90,The History And Meaning Of The Journal Impact Factor,2006-01-04,Jama [issn:0098-7484 issn:1538-3598 openalex:S172573765 omid:br/062607399],journal article,American Medical Association (Ama) [crossref:10 omid:ra/0610116095]
10.1002/(sici)1097-4571(198909)40:5<342::aid-asi7>3.0.co,,,,,
10.1002/asi.4630240406,Co-citation In The Scientific Literature: A New Measure Of The Relationship Between Two Documents,1973-07,Journal Of The American Society For Information Science [doi:10.1002/(issn)1097-4571 issn:0002-8231 issn:1097-4571 openalex:S4210220780 omid:br/06201057],journal article,Wiley [crossref:311 omid:ra/0610116001]
10.1007/978-3-319-03524-6_29,Semantic Annotation Of Scholarly Documents And Citations,2013,AI*IA 2013: Advances In Artificial Intelligence [isbn:9783319035239 isbn:9783319035246 omid:br/061802654621],book chapter,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1007/978-3-540-89704-0_17,"Identifying Key Concepts In An Ontology, Through The Integration Of Cognitive Principles With Statistical And Topological Measures",,The Semantic Web [doi:10.1007/978-3-540-89704-0 isbn:9783540897033 isbn:9783540897040 openalex:W4250292873 omid:br/0613059359],book chapter,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1007/978-3-642-41242-4_6,Characterising Citations In Scholarly Documents: The CiTalO Framework,2013,Advanced Information Systems Engineering [doi:10.1007/978-3-642-38709-8 isbn:9783642387081 isbn:9783642387098 openalex:W182200930 omid:br/0612057054],book chapter,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1007/bf02457980,The Signs Of Science,1998-01,Scientometrics [issn:0138-9130 issn:1588-2861 openalex:S148561398 omid:br/0626055628],journal article,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1007/s10579-012-9211-2,The ACL Anthology Network Corpus,2013-01-06,Computers And The Humanities [issn:0010-4817 issn:1572-8412 issn:1574-020X issn:1574-0218 omid:br/068013221],journal article,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1007/s11192-006-0124-y,Proceedings Literature As Additional Data Source For Bibliometric Analysis,2006-09,Scientometrics [issn:0138-9130 issn:1588-2861 openalex:S148561398 omid:br/0626055628],journal article,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1007/s11192-009-0021-2,A Comparison Of Bibliometric Indicators For Computer Science Scholars And Journals On Web Of Science And Google Scholar,2009-06-10,Scientometrics [issn:0138-9130 issn:1588-2861 openalex:S148561398 omid:br/0626055628],journal article,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1016/j.jbi.2008.03.004,Bio2RDF: Towards A Mashup To Build Bioinformatics Knowledge Systems,2008-10,Journal Of Biomedical Informatics [issn:1532-0464 openalex:S11622463 omid:br/0622020901],journal article,Elsevier Bv [crossref:78 omid:ra/0610116009]
10.1016/j.websem.2012.08.001,FaBiO And CiTO: Ontologies For Describing Bibliographic Resources And Citations,2012-12,Journal Of Web Semantics [issn:1570-8268 openalex:S20211220 omid:br/061701439512],journal article,Elsevier Bv [crossref:78 omid:ra/0610116009]
10.1016/j.websem.2013.05.001,Key Choices In The Design Of Simple Knowledge Organization System (SKOS),2013-05,Journal Of Web Semantics [issn:1570-8268 openalex:S20211220 omid:br/061701439512],journal article,Elsevier Bv [crossref:78 omid:ra/0610116009]
10.1023/a:1021919228368,,2003,Scientometrics [issn:0138-9130 issn:1588-2861 openalex:S148561398 omid:br/0626055628],journal article,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1038/35079151,Free Online Availability Substantially Increases A Paper'S Impact,2001-05-31,Nature [issn:0028-0836 issn:1465-7392 issn:1476-4679 issn:1476-4687 issn:1744-7933 omid:br/0626016512],journal article,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]; Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]; Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1038/493159a,Value All Research Products,2013-01,Nature [issn:0028-0836 issn:1465-7392 issn:1476-4679 issn:1476-4687 issn:1744-7933 omid:br/0626016512],journal article,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
10.1038/495437a,Beyond The Paper,2013-03,Nature [issn:0028-0836 issn:1465-7392 issn:1476-4679 issn:1476-4687 issn:1744-7933 omid:br/0626016512],journal article,Springer Science And Business Media Llc [crossref:297 omid:ra/0610116006]
